APOINGA,APOINGA SA 5413
AUSTRALIA PLAINS,AUSTRALIA PLAINS SA 5374
BALDINA,BALDINA SA 5417
BOOBOROWIE,BOOBOROWIE SA 5416
BOWER,BOWER SA 5374
BRADY CREEK,BRADY CREEK SA 5381
BRIGHT,BRIGHT SA 5381
BROWNLOW,BROWNLOW SA 5374
BUCHANAN,BUCHANAN SA 5374
BUNDEY,BUNDEY SA 5320
BURRA,BURRA SA 5417
BURRA EASTERN DISTRICTS,BURRA EASTERN DISTRICTS SA 5417
CANOWIE,CANOWIE SA 5419
CANOWIE BELT,CANOWIE BELT SA 5420
COLLINSVILLE,COLLINSVILLE SA 5418
DUTTON,DUTTON SA 5356
EMU DOWNS,EMU DOWNS SA 5381
EUDUNDA,EUDUNDA SA 5374
FARRELL FLAT,FARRELL FLAT SA 5416
FRANKLYN,FRANKLYN SA 5421
FRANKTON,FRANKTON SA 5374
GERANIUM PLAINS,GERANIUM PLAINS SA 5381
GUM CREEK,GUM CREEK SA 5417
HALLELUJAH HILLS,HALLELUJAH HILLS SA 5381
HALLETT,HALLETT SA 5419
HAMPDEN,HAMPDEN SA 5374
HANSBOROUGH,HANSBOROUGH SA 5374
HANSON,HANSON SA 5417
JULIA,JULIA SA 5374
KOONOONA,KOONOONA SA 5417
LEIGHTON,LEIGHTON SA 5417
MONGOLATA,MONGOLATA SA 5417
MOUNT BRYAN,MOUNT BRYAN SA 5418
MOUNT BRYAN EAST,MOUNT BRYAN EAST SA 5419
NEALES FLAT,NEALES FLAT SA 5374
NGAPALA,NGAPALA SA 5374
NORTH BOOBOROWIE,NORTH BOOBOROWIE SA 5417
PEEP HILL,PEEP HILL SA 5374
PINE CREEK,PINE CREEK SA 5419
POINT PASS,POINT PASS SA 5380
PORTER LAGOON,PORTER LAGOON SA 5416
ROBERTSTOWN,ROBERTSTOWN SA 5381
ROCKY PLAIN,ROCKY PLAIN SA 5381
STEINFELD,STEINFELD SA 5356
SUTHERLANDS,SUTHERLANDS SA 5374
TEROWIE,TEROWIE SA 5421
ULOOLOO,ULOOLOO SA 5419
WHYTE YARCOWIE,WHYTE YARCOWIE SA 5420
WILLALO,WILLALO SA 5419
WONNA,WONNA SA 5419
WORLDS END,WORLDS END SA 5381
